id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.1525/rep.2007.100.1.42	10.1525/rep.2007.100.1.42	The Way We Love Now: Ian McEwan, <i>Saturday</i>, and Personal Affection in the Information Age	Frances Ferguson	Representations	100	1	2007-11-01T00:00:00Z	pp. 42-52	University of California Press	fla			
10.2307/20830953	10.2307/20830953	Occupational Level and the Love of Money	JOSEPH HARRY	Sociological Focus	8	2	1975-04-01T00:00:00Z	pp. 181-190	Taylor & Francis, Ltd.	fla		As an alternative to the embourgeoisement hypothesis, Goldethorpe, et al., have advanced the notion that the modern working class is privatized in social relations and money-oriented in culture. The present paper addresses itself to this latter point of money-orientedness. Presenting data from a 1973 national survey, the findings support the idea that semi-skilled and unskilled workers place a greater emphasis on money than do other occupational levels. Differences in emphasis on the importance of money are not explained when income is used as a covariate. A part of these differences is explained by education. When both education and income are controlled, differences between occupational levels vanish except for the difference between the semi-skilled/unskilled and all other levels. The findings tend to support Form's hypothesis of the "internal stratification of the working class" with increasing industrialization.	
10.2307/1595280	10.2307/1595280	Notes on Two Love Stories from the Thousand and One Nights	Andras Hamori	Studia Islamica		43	1976-01-01T00:00:00Z	pp. 65-80	Maisonneuve & Larose	fla			
10.2307/25094281	10.2307/25094281	Maintaining Love through Accord in the "Tale of Melibee"	Kathleen E. Kennedy	The Chaucer Review	39	2	2004-01-01T00:00:00Z	pp. 165-176	Penn State University Press	fla			
10.2307/23338352	10.2307/23338352	LOVE-1	Kusum Kumar	Indian Literature	40	4 (180)	1997-07-01T00:00:00Z	p. 41	Sahitya Akademi	fla			
10.2307/25183004	10.2307/25183004	Love, Poetry and Renunciation: Changing Configurations of the Ideal of "Suki"	Rajyashree Pandey	Journal of the Royal Asiatic Society	5	2	1995-07-01T00:00:00Z	pp. 225-244	Cambridge University Press, Royal Asiatic Society of Great Britain and Ireland	fla			
10.2307/340939	10.2307/340939	Love as Liturgy and Liturgy as Love: The Satirical Subversion of Worship and Courtship in Eça de Queiroz	Elizabeth Lowe	Hispania	61	4	1978-12-01T00:00:00Z	pp. 912-918	American Association of Teachers of Spanish and Portuguese	fla			
10.2307/3812943	10.2307/3812943	No Love for a Used Hanky	Tim Bristol	The Journal of Sex Research	29	3	1992-08-01T00:00:00Z	pp. 447-448	Taylor & Francis, Ltd.	fla			
10.2307/23008862	10.2307/23008862	Quantum Mechanics: Another Love Poem	David Dwyer	Agni		27	1988-01-01T00:00:00Z	pp. 187-188	Agni	fla			
10.2307/20202086	10.2307/20202086	Early Childhood: What Goes on at Home? Conversations with Three Families That Link Love to Literacy	Margaret Humadi Genisio, Beverly J. Bruneau, Renee Casbergue	The Reading Teacher	52	4	1998-12-01T00:00:00Z	pp. 396-399	International Reading Association	fla			
10.2307/25781270	10.2307/25781270	AN INTERPRETIVE DIALOGUE: Beckett's "First Love" and Bakhtin's Categories of Meaning	Carolyn Jursa Ayers	Samuel Beckett Today / Aujourd'hui	7		1998-01-01T00:00:00Z	pp. 391-406	Editions Rodopi B.V.	fla		From the very first sentence of "First Love", Beckett's narrator-protagonist engages the reader in an aggressive, one-sided dialogue. We might respond by bringing the voice of the narrator, and Beckett's narrative in general, into contact with the major theorizer of dialogue, Mikhail Bakhtin. Bakhtin's categories of genre suggest that Beckett's story may share strategic affinities with the menippea, while his concept of chronotope helps to clarify some of the contradictory details in the text. It is the idea of dialogue, however, with its implied surrender of power to the other that dominates the text and obsesses the narrator. In illuminating the narrator's resistance to, and regretful acknowledgement of his dialogic position in the world, Bakhtin's words respond to and renew Beckett's.	
10.2307/41527741	10.2307/41527741	Horace (Odes, 1, 17) and the 'Music of Love'	A. W. J. Holleman	Latomus	29	3	1970-07-01T00:00:00Z	pp. 750-755	Societe d’Etudes Latines de Bruxelles	fla			
10.2307/23328413	10.2307/23328413	Creation Within the Love of God	V. Bruce Rigdon	Journal of Presbyterian History (1962-1985)	61	1	1983-04-01T00:00:00Z	pp. 43-54	Presbyterian Historical Society	fla			
10.2307/3805760	10.2307/3805760	From Love in the Time of War	Yusef Komunyakaa	Callaloo	28	3	2005-07-01T00:00:00Z	p. 680	The Johns Hopkins University Press	fla			
10.2307/1103442	10.2307/1103442	Alienation of Love and Affections		The Virginia Law Register	16	9	1911-01-01T00:00:00Z	pp. 711-714	Virginia Law Review	fla			
10.2307/4014840	10.2307/4014840	The Calculus of Love	E. K.	Science News	165	9	2004-02-28T00:00:00Z	p. 142	Society for Science & the Public	mis			
10.2307/3773618	10.2307/3773618	A Cross-Cultural Perspective on Romantic Love	William R. Jankowiak, Edward F. Fischer	Ethnology	31	2	1992-04-01T00:00:00Z	pp. 149-155	University of Pittsburgh- Of the Commonwealth System of Higher Education	fla			
10.2307/41289727	10.2307/41289727	'A Science of Tonal Love'? Drive and Desire in Twentieth-Century Harmony: the Erotics of Skryabin	KENNETH SMITH	Music Analysis	29	1/3	2010-03-01T00:00:00Z	pp. 234-263	Wiley	fla		Leonid Sabaneyev attested that Skryabin's compositions contained within them 'a science of tonal love', and Skryabin himself described his two Op. 57 pieces - Désir and Caresse dansée - as 'new ways of making love'. But what makes this music so erotic in nature? The composer theorised about the nature of desire and sexuality in his writings, but this discussion rarely spills over into analysis of his compositional system. Given that Skryabin was so steeped in psychology throughout his life, I appeal to the work of Freud and Jacques Lacan, and particularly to their distinction between drive and desire (essentially, the fundamental instinct of the id versus its imaginary representation), a distinction found in Skryabin's own philosophical writings. But the progression between these two states bears comparison with both his philosophy and his harmonic processes, and I thus focus on the function of the dominant chord, exploring ways in which it can replicate the structures of drive and desire. In so doing, I scrutinise several piano miniatures to show that part of Skryabin's method of embodying drive in music lays out ambiguous chord structures which bear simultaneous tendencies to move in a number of different directions, as multivalent as the drive in the human subject. Further, I attempt to show that, out of mystical sonorities, Skryabin temporally unfolds a dialogue of different dominant ' drives', and eventually selects and nurtures a single one at the expense of others, a motion equivalent to desire.	
10.2307/3704835	10.2307/3704835	Philosophy in the English Boudoir: Havelock Ellis, Love and Pain, and Sexological Discourses on Algophilia	Ivan Crozier	Journal of the History of Sexuality	13	3	2004-07-01T00:00:00Z	pp. 275-305	University of Texas Press	fla			
10.1525/nr.2004.8.1.121	10.1525/nr.2004.8.1.121	Free Love in Utopia: John Humphrey Noyes and the Origins of the Oneida Community	George Wallingford Noyes	Nova Religio: The Journal of Alternative and Emergent Religions	8	1	2004-07-01T00:00:00Z	pp. 121-123	University of California Press	brv			
10.2307/20129416	10.2307/20129416	Aristotelian Friendship: Self-Love and Moral Rivalry	Anne Marie Dziob	The Review of Metaphysics	46	4	1993-06-01T00:00:00Z	pp. 781-801	Philosophy Education Society Inc.	fla			
10.2307/40626108	10.2307/40626108	With Open Love	KONSTANTINOS LARDAS	Prairie Schooner	36	4	1962-12-01T00:00:00Z	pp. 292-293	University of Nebraska Press	fla			
10.2307/306621	10.2307/306621	A Mejerxol'd Method?--Love for Three Oranges (1914-1916)	Marjorie L. Hoover	The Slavic and East European Journal	13	1	1969-04-01T00:00:00Z	pp. 23-41	American Association of Teachers of Slavic and East European Languages	fla			
10.1086/669836	10.1086/669836	Cristina Grenholm and Marie Tåqvist, <i>Motherhood and Love: Beyond the Gendered Stereotypes of Theology</i>	Sandra Sullivan-Dunbar	The Journal of Religion	93	1	2013-01-01T00:00:00Z	pp. 105-106	The University of Chicago Press	brv	Motherhood and Love: Beyond the Gendered Stereotypes of Theology|Cristina Grenholm;Marie Tåqvist		
10.2307/25781289	10.2307/25781289	SAM'S LOVE FOR SAM: Samuel Beckett, Dr. Johnson and "Human Wishes"	N. F. Löwe	Samuel Beckett Today / Aujourd'hui	8		1999-01-01T00:00:00Z	pp. 189-203	Editions Rodopi B.V.	fla		A re-examination of Beckett's notes for Human Wishes reveals that his original intention of writing about Dr. Johnson's love for Mrs. Thrale was abandoned at an earlier stage than hitherto believed. Using a later edition of Boswell, he began a fresh set of notes about a new idea for a play about the odd characters living in Johnson's house. The influence of Dr. Johnson and of Jeremy Taylor's Rules and Exercises of Holy Living and Dying on Beckett is shown to be so deep that it pervades Beckett's work.	
10.2307/25773193	10.2307/25773193	"why i love oob" (in 50 words or more or less)	jk, vickie, mary klein, alice, carol anne, fran, lin, w.j.e.s., tacie dejanikus	Off Our Backs	10	2	1980-02-01T00:00:00Z	pp. 7, 27	off our backs, inc.	fla			
10.2307/25564190	10.2307/25564190	Cardiff: "Aint No Love in the Heart of the City" at Various Locations	Hannah Firth	Circa		109	2004-10-01T00:00:00Z	pp. 70-71	Circa Art Magazine	brv			
10.2307/42570112	10.2307/42570112	POLYSEAMSEAL: Or, How I Learned to Stop Worrying and Love Caulk	JASON YOUNG	Journal of Architectural Education (1984-)	67	2	2013-10-01T00:00:00Z	pp. 288-289	Association of Collegiate Schools of Architecture, Inc., Taylor & Francis, Ltd.	fla			
10.2307/23256453	10.2307/23256453	PASOLINI DISCOVERS LOVE OUTSIDE	MICHAEL HARDT	Diacritics	39	4	2009-12-01T00:00:00Z	pp. 113-125, 127-129	The Johns Hopkins University Press	fla			
10.2307/27663511	10.2307/27663511	Struggling with Love		The Furrow	48	10	1997-10-01T00:00:00Z	pp. 542-545	The Furrow	fla			
10.2307/20621470	10.2307/20621470	Love Poem to Onion	Mong-Lan	World Literature Today	83	1	2009-01-01T00:00:00Z	p. 31	University of Oklahoma	fla			
10.2307/3328097	10.2307/3328097	Why Expressivists about Value Should Not Love Minimalism about Truth	John Divers, Alexander Miller	Analysis	54	1	1994-01-01T00:00:00Z	pp. 12-19	The Analysis Committee, Oxford University Press	fla			
10.2307/3301006	10.2307/3301006	The Brown Boy Loves the White Man	Ronaldo V. Wilson	Callaloo	27	4	2004-10-01T00:00:00Z	pp. 1045-1046	The Johns Hopkins University Press	fla			
10.2307/4201696	10.2307/4201696	A Peasant's Love Song	M. H. Dziewicki, Maria Konopnicka	The Slavonic Review	2	4	1923-06-01T00:00:00Z	p. 156	Modern Humanities Research Association, University College London, School of Slavonic and East European Studies	fla			
10.2307/20602326	10.2307/20602326	On Making Love after Having Made Love	Robert J. Levy	Poetry	155	5	1990-02-01T00:00:00Z	pp. 328-329	Poetry Foundation	fla			
10.2307/23352736	10.2307/23352736	Albo on the Reasonlessness of True Love	Warren Zev Harvey	Iyyun: The Jerusalem Philosophical Quarterly / עיון: רבעון פילוסופי	49		2000-01-01T00:00:00Z	pp. 83-86		fla			
10.2307/20588175	10.2307/20588175	Love Poem	John Ciardi	Poetry	97	4	1961-01-01T00:00:00Z	p. 232	Poetry Foundation	fla			
10.2307/2384882	10.2307/2384882	`Defend the Nation and Love the Truth'. Inoue Enryο̄ and the Revival of Meiji Buddhism	Kathleen M. Staggs	Monumenta Nipponica	38	3	1983-10-01T00:00:00Z	pp. 251-281	Sophia University	fla			
10.2307/25186304	10.2307/25186304	A Memorable Moment: Love and Respect after 30 Years	Terry Cubitt	BMJ: British Medical Journal	319	7219	1999-11-06T00:00:00Z	p. 1261	BMJ Publishing Group	mis			
10.2307/25706802	10.2307/25706802	I am in love, hence free to live	VERA PAVLOVA, Steven Seymour	Poetry	195	4	2010-01-01T00:00:00Z	p. 273		fla			
10.2307/23114988	10.2307/23114988	The Masks of Love: Desire and Metamorphosis in Sidney's "New Arcadia"	CLARE KINNEY	Criticism	33	4	1991-10-01T00:00:00Z	pp. 461-490	Wayne State University Press	fla			
10.2307/25586143	10.2307/25586143	Psyche and Love		The Decorator and Furnisher	16	5	1890-08-01T00:00:00Z	pp. 164-165		fla			
10.2307/29543472	10.2307/29543472	'ASSAULTS ON THE SINGLE-FAMILY HOUSE': THE LOVE HOUSE	Lars Lerup, Peter Wilson	AA Files		10	1985-10-01T00:00:00Z	pp. 44-48	Architectural Association School of Architecture	fla			
10.2307/20751784	10.2307/20751784	MEMORIES OF PEACE AND LOVE	Deborah Czechowski	International Journal on World Peace	9	2	1992-06-01T00:00:00Z	pp. 57-58	Professors World Peace Academy	fla			
10.2307/1261196	10.2307/1261196	Burns's Comedy of Romantic Love	Frederick L. Beaty	PMLA	83	2	1968-05-01T00:00:00Z	pp. 429-438	Modern Language Association	fla		Though Burns enunciated no critical precepts on the comedy of love, he composed much of his best poetry not only within the eighteenth-century sanction of aggressive wit but also according to the tradition of humor as it later became associated with the distinctively Romantic expression of the comic spirit. Illustrative poems and letters reveal his mirthful delineation of human affection. With extraordinary insight into the realities of amatory experience, he treated a rich variety of subjects-the multifarious joys and problems of courtship, unrestrained passion, adultery, unwed parenthood, marriage, artificial conventions and morals, alcoholic stimulation, and defiance of social hypocrisy. His sympathy with the essential seriousness of love counterbalanced a perceptive awareness of human frailties; his basically empathic approach to the dilemmas of love often coalesced with portrayals of ludicrous situations or character traits that invited laughter. It was the fusion of these seemingly antithetical elements that impressed his nineteenth-century admirers, and this outstanding achievement has become increasingly significant in the light of more recent psychological analyses.	
10.2307/20602532	10.2307/20602532	Love Affair	Richard Foerster	Poetry	156	5	1990-08-01T00:00:00Z	p. 285	Poetry Foundation	fla			
10.2307/20638029	10.2307/20638029	Australians Love Elections: But Do We Have to Love the Elected?	James Morris	AQ: Australian Quarterly	73	5	2001-09-01T00:00:00Z	pp. 18, 38	Australian Institute of Policy and Science	fla			
10.2307/3556659	10.2307/3556659	Misery Loves Companies: Rethinking Social Initiatives by Business	Joshua D. Margolis, James P. Walsh	Administrative Science Quarterly	48	2	2003-06-01T00:00:00Z	pp. 268-305	Johnson Graduate School of Management, Cornell University, Sage Publications, Inc.	fla		Companies are increasingly asked to provide innovative solutions to deep-seated problems of human misery, even as economic theory instructs managers to focus on maximizing their shareholders' wealth. In this paper, we assess how organization theory and empirical research have thus far responded to this tension over corporate involvement in wider social life. Organizational scholarship has typically sought to reconcile corporate social initiatives with seemingly inhospitable economic logic. Depicting the hold that economics has had on how the relationship between the firm and society is conceived, we examine the consequences for organizational research and theory by appraising both the 30-year quest for an empirical relationship between a corporation's social initiatives and its financial performance, as well as the development of stakeholder theory. We propose an alternative approach, embracing the tension between economic and broader social objectives as a starting point for systematic organizational inquiry. Adopting a pragmatic stance, we introduce a series of research questions whose answers will reveal the descriptive and normative dimensions of organizational responses to misery.	
10.2307/40244997	10.2307/40244997	Love Story	Rachel Kadish	New England Review (1990-)	28	3	2007-01-01T00:00:00Z	pp. 183-187	Middlebury College Publications	fla			
10.2307/41490761	10.2307/41490761	Born Poet and Born Lover: Wang Jingzhi's Love Poetry within the May Fourth Context	Michel Hockx	Modern Chinese Literature	9	2	1996-10-01T00:00:00Z	pp. 261-296	Foreign Language Publications	fla			
10.2307/23178149	10.2307/23178149	Organized Mother Love: The Buffalo Women's Educational and Industrial Union, 1885–1915	BRENDA K. SHELTON	New York History	67	2	1986-04-01T00:00:00Z	pp. 154-176	New York State Historical Association	fla			
10.2307/30098496	10.2307/30098496	Claudel: Poet of Love	Mary Ryan	Studies: An Irish Quarterly Review	42	168	1953-12-01T00:00:00Z	pp. 440-445	Irish Province of the Society of Jesus	fla			
10.2307/3848479	10.2307/3848479	Thy Love Is One Thou'st Not Yet Known	Jean Garrigue	The Hudson Review	15	4	1962-12-01T00:00:00Z	pp. 525-526	The Hudson Review, Inc	fla			
10.2307/3250658	10.2307/3250658	Ceremonial Healing and the Multiple Narrative Tradition in Louise Erdrich's "Tales of Burning Love"	Roberta Rosenberg	MELUS	27	3	2002-10-01T00:00:00Z	pp. 113-131	Oxford University Press, The Society for the Study of the Multi-Ethnic Literature of the United States (MELUS)	fla			
10.2307/2703072	10.2307/2703072	Looking for Love	William G. Shade	Reviews in American History	19	2	1991-06-01T00:00:00Z	pp. 211-217	The Johns Hopkins University Press	brv	Searching the Heart: Women, Men, and Romantic Love in Nineteenth-Century America|Karen Lystra		
10.2307/23007685	10.2307/23007685	Poetry, History and the Love of Oranges	JERZY JARNIEWICZ	Agni		44	1996-01-01T00:00:00Z	pp. 196-201	Agni	fla			
10.2307/20586354	10.2307/20586354	The Sound of Love	E. G. Burrows	Poetry	89	3	1956-12-01T00:00:00Z	pp. 169-170	Poetry Foundation	fla			
10.2307/41686719	10.2307/41686719	A Love in Germany: AN INTERVIEW WITH ANDRZEJ WAJDA	Lenny Rubenstein, ANDRZEJ WAJDA	Cinéaste	14	2	1985-01-01T00:00:00Z	pp. 19-20	Cineaste Publishers, Inc	fla			
10.2307/20586246	10.2307/20586246	The Bravery of Love	William Stafford	Poetry	88	6	1956-09-01T00:00:00Z	p. 364	Poetry Foundation	fla			
10.2307/3369711	10.2307/3369711	I Love My Jean. Four-Part Song	Robert Burns, H. Elliot Button	The Musical Times and Singing Class Circular	43	710	1902-04-01T00:00:00Z	pp. 251-254	Musical Times Publications Ltd.	fla			
10.2307/27775206	10.2307/27775206	That Moment, Which You Could Love, What Of It	DAVE SMITH	The American Poetry Review	5	2	1976-03-01T00:00:00Z	p. 9	American Poetry Review	fla			
10.1086/652553	10.1086/652553	Leone Ebreo. <i>Dialogues of Love</i>	Sergius Kodera	Renaissance Quarterly	63	1	2010-03-01T00:00:00Z	pp. 208-209	Renaissance Society of America, The University of Chicago Press	brv	Dialogues of Love|Leone Ebreo;Rossella Pescatori;Damian Bacich;Rossella Pescatori		
10.2307/20071957	10.2307/20071957	The Business of Love: Writings on the Socio-Cultural Dynamics of Thailand's Sex Industry	Marc Askew	Journal of Southeast Asian Studies	28	2	1997-09-01T00:00:00Z	pp. 396-406	Cambridge University Press, Department of History, National University of Singapore	brv	Thai Tourism. Hilltribes, Islands and Open-Ended Prostitution|Erik Cohen, Patpong Sisters. An American Woman's View of the Bangkok Sex World|Cleo Odzer		
10.2307/3527351	10.2307/3527351	Art and the Teaching of Love	Didier Maleuvre	Journal of Aesthetic Education	39	1	2005-04-01T00:00:00Z	pp. 77-92	University of Illinois Press	fla			
10.2307/3346145	10.2307/3346145	The Unpublished Love Poems of Sarah Orne Jewett	Josephine Donovan	Frontiers: A Journal of Women Studies	4	3	1979-10-01T00:00:00Z	pp. 26-31	University of Nebraska Press	fla			
10.2307/25547586	10.2307/25547586	A Language of Courage and Love of Objects	Hugh Bredin	Fortnight		209	1984-11-01T00:00:00Z	pp. 18, 20	Fortnight Publications Ltd.	brv	Station Island|Seamus Heaney		
10.2307/30183207	10.2307/30183207	Paperbacks: Inspiring a Love for Literature	Joseph Mersand	The Clearing House	41	9	1967-05-01T00:00:00Z	p. 566	Taylor & Francis, Ltd.	brv			
10.2307/40837243	10.2307/40837243	Dying for Love? Three Case Studies: Prévost, Voltaire, Laclos	Marie A. Wellington	Dalhousie French Studies	45		1998-12-01T00:00:00Z	pp. 3-17	Dalhousie University	fla			
10.2307/1372923	10.2307/1372923	Prosecutors Who Seize Too Much and the Theories They Love: Money Laundering, Facilitation, and Forfeiture	Jon E. Gordon	Duke Law Journal	44	4	1995-02-01T00:00:00Z	pp. 744-776	Duke University School of Law	fla			
10.2307/3305360	10.2307/3305360	Supreme Court of Vermont. Worthen v. Love	W. W. Thornton	The American Law Register (1852-1891)	36	10	1888-10-01T00:00:00Z	pp. 631-645	The University of Pennsylvania Law Review	fla			
10.1525/nr.2007.10.3.139	10.1525/nr.2007.10.3.139	Love the Sin: Sexual Regulation and the Limits of Religious Tolerance	Janet R. Jakobsen, Ann Pellegrini	Nova Religio: The Journal of Alternative and Emergent Religions	10	3	2007-02-01T00:00:00Z	pp. 139-140	University of California Press	brv			
10.2307/3299332	10.2307/3299332	Abduction and Other Severe Pleasures: Rita Dove's "Mother Love"	Alison Booth	Callaloo	19	1	1996-01-01T00:00:00Z	pp. 125-130	The Johns Hopkins University Press	fla			
10.2307/4336869	10.2307/4336869	In Love and War and Music: An Interview with Joy Harjo	Marilyn Kallet, Joy Harjo	The Kenyon Review	15	3	1993-07-01T00:00:00Z	pp. 57-66	Kenyon College	fla			
10.2307/3042530	10.2307/3042530	In Search of My Mother's Garden, I Found My Own: Mother-Love, Healing, and Identity in Toni Morrison's Jazz	Andrea O'Reilly	African American Review	30	3	1996-10-01T00:00:00Z	pp. 367-379	Indiana State University, St. Louis University	fla			
10.2307/1088400	10.2307/1088400	Plato's Agathon's Sophocles: Love and Necessity in the "Symposium"	J. Mitscherling	Phoenix	39	4	1985-12-01T00:00:00Z	pp. 375-377	Classical Association of Canada	fla			
10.2307/23344210	10.2307/23344210	The Many Moods of Love	Anoop Verma	Indian Literature	54	1 (255)	2010-01-01T00:00:00Z	pp. 258-259		brv	Signs of Love|V. Balachandran		
10.2307/958043	10.2307/958043	Love Is Come Again	Canon J. M. C. Crum, Bill Tamblyn	The Musical Times	118	1608	1977-02-01T00:00:00Z		Musical Times Publications Ltd.	fla			
10.2307/4435824	10.2307/4435824	Roman Attitudes to Greek Love	Ramsay MacMullen	Historia: Zeitschrift für Alte Geschichte	31	4	1982-12-01T00:00:00Z	pp. 484-502	Franz Steiner Verlag	fla			
10.2307/802307	10.2307/802307	Golden Numbers: An Experiment in Teaching Love of Poetry to High-School Pupils	Annie Flint Kellogg	The English Journal	10	7	1921-09-01T00:00:00Z	pp. 367-375	National Council of Teachers of English	fla			
10.2307/20049452	10.2307/20049452	Learning to Love the WTO	Marcus Noland	Foreign Affairs	78	5	1999-09-01T00:00:00Z	pp. 78-92	Council on Foreign Relations	fla		U.S. trade policy is adrift and under siege. America's traditional commitment to open markets is now buffeted by both left and right, from labor unions and environmentalists to big business and "America First" isolationists. Fortunately, the advent of the World Trade Organization offers Washington a chance to balance the protectionist threat. If the United States cooperates with the WTO to settle trade disputes multilaterally, it can dilute both protectionist pressure at home and anti-American resentment abroad. But robust leadership and commitment will be needed, and neither Congress nor President Clinton seems up to the task.	
10.2307/40535997	10.2307/40535997	The God Who Loves You	CARL DENNIS	Salmagundi		111	1996-07-01T00:00:00Z	pp. 152-153	Skidmore College	fla			
10.2307/23007644	10.2307/23007644	Dear Edward Lear I Love Your Birds	JEREDITH MERRIN	Agni		44	1996-01-01T00:00:00Z	pp. 57-58	Agni	fla			
10.2307/2684886	10.2307/2684886	A Study of Statistical Aspects of the Love Canal Environmental Monitoring Study	Michael R. Stoline, Richard J. Cook	The American Statistician	40	2	1986-05-01T00:00:00Z	pp. 172-177	American Statistical Association	fla		A major study released in May 1982 by the U.S. Environmental Protection Agency (EPA), in conjunction with the U.S. Department of Health and Human Services, concluded that a residential area surrounding the Love Canal chemical waste dump site exhibited no clear evidence of Canal-related contamination. Considering EPA study design and statistical methods used in data interpretation, we have reservations regarding the conclusions drawn from the study by the EPA and others. Our reservations focus mainly on the high likelihood of achieving only low power for detecting differences in chemical prevalence between the three sampling areas identified in the study. It is our conclusion that no decision can be reached concerning habitability of this area until a more comprehensive study is completed.	
10.2307/40654308	10.2307/40654308	Love Leaps Here...	John Figueroa	Caribbean Quarterly	49	1/2	2003-03-01T00:00:00Z	p. 6	Caribbean Quarterly, University of the West Indies	fla			
10.2307/40647293	10.2307/40647293	Back to back: a response to "Landscape, absence and the geographies of love"	Mitch Rose	Transactions of the Institute of British Geographers	35	1	2010-01-01T00:00:00Z	pp. 141-144	The Royal Geographical Society (with the Institute of British Geographers), Wiley	fla			
